report_date,mon,tue,wed,thu,fri,sat,sun
20140901,1,0,0,0,0,0,0
20140902,0,1,0,0,0,0,0
20140903,0,0,1,0,0,0,0
20140904,0,0,0,1,0,0,0
20140905,0,0,0,0,1,0,0
20140906,0,0,0,0,0,1,0
20140907,0,0,0,0,0,0,1
20140908,1,0,0,0,0,0,0
20140909,0,1,0,0,0,0,0
20140910,0,0,1,0,0,0,0
20140911,0,0,0,1,0,0,0
20140912,0,0,0,0,1,0,0
20140913,0,0,0,0,0,1,0
20140914,0,0,0,0,0,0,1
20140915,1,0,0,0,0,0,0
20140916,0,1,0,0,0,0,0
20140917,0,0,1,0,0,0,0
20140918,0,0,0,1,0,0,0
20140919,0,0,0,0,1,0,0
20140920,0,0,0,0,0,1,0
20140921,0,0,0,0,0,0,1
20140922,1,0,0,0,0,0,0
20140923,0,1,0,0,0,0,0
20140924,0,0,1,0,0,0,0
20140925,0,0,0,1,0,0,0
20140926,0,0,0,0,1,0,0
20140927,0,0,0,0,0,1,0
20140928,0,0,0,0,0,0,1
20140929,1,0,0,0,0,0,0
20140930,0,1,0,0,0,0,0
