report_date, total_purchase_amt, zfb00, zfb01, zfb02, zfb03, zfb04, zfb05, zfb06, zfb07, zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, zfb30, zfb31, zfb32, zfb33, zfb34, zfb35, zfb36, zfb37, bank00, bank01, bank02, bank03, bank04, bank05, bank06, bank07, bank10, bank11, bank12, bank13, bank14, bank15, bank16, bank17, bank20, bank21, bank22, bank23, bank24, bank25, bank26, bank27, bank30, bank31, bank32, bank33, bank34, bank35, bank36, bank37, share
20130701,145484416,0,0,0,0,0,0,0,0,0,520252,6634285,1631361,4684005,1907917,1328166,159846,0,1719618,23129476,6312146,9227033,6358861,24924234,7879256,0,375033,2247399,288553,3289383,5795006,9800,7473925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7872744,6611314,299006,891760,1209423,81427,0,1357163,3361870,1127547,2191854,444164,1617685,2424563,98341
20130702,148925702,0,0,0,0,0,0,0,0,0,0,665114,5400786,1656422,21610,518934,35609,0,2926801,4861555,3467117,70817311,18354990,1608077,5613667,0,914836,1768853,509234,327502,57742,1499314,895650,0,0,0,0,0,0,0,0,0,0,101976,0,0,0,0,0,0,2801731,2588323,2324485,4890040,690138,0,105852,0,2953751,1816526,963894,2566426,1392291,2614321,1091063,103761
20130703,146254352,0,0,0,0,0,0,0,0,0,39536,6216563,1719453,1198485,3925566,2727968,299605,0,12547293,9799061,11575570,20042079,8393423,9148554,3618966,0,139795,395273,132041,5717604,1888415,674380,3464676,0,0,0,0,0,0,0,0,0,0,0,2522881,0,3981322,0,0,0,3486835,5135657,2506269,1527296,1503024,492520,407398,0,4304897,1734378,1798945,6435066,2128784,910418,3587269,127087
20130704,146001239,0,0,0,0,0,0,0,0,0,384626,2435888,778166,1331644,717989,1229194,0,0,2907286,14713162,2528063,24031609,5062823,5374553,1583893,0,110122,25653472,100562,3912732,26078400,397280,0,0,0,0,0,0,0,0,0,0,0,0,985536,0,0,200757,0,0,200440,202139,283909,3038331,2408892,101842,496097,0,3802056,4739478,547380,4477795,2788928,1368286,885814,142095
20130705,100449165,0,0,0,0,0,0,0,0,0,2205898,737101,605252,1233201,217792,598431,1388169,0,1671107,19475475,6614040,3211561,5440361,22293511,332763,0,1008823,349042,2326690,662993,7212717,175166,116906,0,0,0,0,0,0,0,0,0,0,1095,0,0,0,0,0,0,131717,2869995,976543,0,354286,204316,0,0,2434564,6013984,836844,3629572,2218686,1177648,1566458,156458
20130706,79010865,0,0,0,0,0,0,0,0,0,0,1983561,1105070,630833,802904,219368,0,0,1053472,4180515,2716605,31458111,3789896,4664413,999838,0,12430,86586,192959,1235778,6020353,1218193,516618,0,0,0,0,0,0,0,0,0,49236,0,2958936,0,0,0,0,0,0,502996,0,0,198449,929261,0,0,373137,3002023,1708785,4443196,1440217,93293,253112,170721
20130707,65355855,0,0,0,0,0,0,0,0,0,99703,1159561,538324,155053,1712221,275265,0,0,354550,7683455,6707172,6860815,1651250,2764515,526098,0,11633893,79647,1519887,595395,510157,509,0,0,0,0,0,0,0,0,0,0,0,0,204478,0,500457,0,0,0,0,0,0,50378,0,7485319,0,0,2375225,2376704,1948273,824381,3069661,181816,1346259,165434
20130708,126971382,0,0,0,0,0,0,0,0,0,807694,326492,89556,1292851,1798695,662913,36369,0,17170605,11301536,4946788,8878211,4442364,3279545,22323212,0,256566,2356261,10238,4448818,2592235,1582401,423028,0,0,0,0,0,0,0,0,0,0,3950486,3059531,1981056,0,0,0,0,0,4007358,0,2982229,2833650,19732,507144,0,2015259,5389034,1915665,3312495,3307115,1408426,1097449,158375
20130709,147264102,0,0,0,0,0,0,0,0,0,416176,9543279,1799265,4162647,6305117,411899,59449,0,6321474,44823612,6494233,25102913,9069888,1151516,1640101,0,3009946,1715673,67019,202938,41156,6707,1113963,0,0,0,0,0,0,0,0,0,0,0,0,22721,0,0,0,0,0,1107164,497124,24187,2466670,200719,0,0,1939366,2908429,456247,3016162,5550410,2613624,2837421,164887
20130710,146313254,0,0,0,0,0,0,0,0,0,610756,1190818,72454,623151,419062,3268072,264419,0,2242567,12255130,15383768,22677908,37511003,1240744,3305573,0,508396,3089957,917,587663,19435,897,1107622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100766,0,0,2311053,49041,780468,605600,200831,0,0,2857569,3700368,5835118,8224213,8462008,4022425,2598045,185437
20130711,110562658,0,0,0,0,0,0,0,0,0,802731,2595465,1044531,640046,865504,2108992,29292,0,7058423,6715378,2646464,25323556,7727002,2077230,1028154,0,10030381,1062971,10065077,273740,327151,399561,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4939804,706604,0,198063,2129853,0,487762,0,1746852,4336558,1454764,3541610,4084761,3028445,886106,198724
20130712,62939986,0,0,0,0,0,0,0,0,0,159637,2244090,1102306,94013,1036927,4053954,474737,0,1708004,6356730,1388063,1402273,8940252,2220671,7103746,0,866040,69476,215049,387314,611039,6048,793189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109000,662,0,299639,811665,0,0,2645542,3476948,2480598,2552884,3792193,2402770,1923845,210682
20130713,62832400,0,0,0,0,0,0,0,0,0,5003709,1479939,998198,234836,1776936,484352,243408,0,2326445,1115601,9068018,754036,16068040,1744176,1129317,0,17652,324846,601923,541198,1661920,19884,0,0,0,0,0,0,0,0,0,0,0,0,4032956,989219,0,0,88707,0,99312,384870,0,407490,593761,1505957,0,0,597105,938751,784013,2359174,2538518,1288210,409294,220629
20130714,80941633,0,0,0,0,0,0,0,0,0,30350,5236508,239956,536456,598682,2422394,100229,0,2574354,8172665,12220834,3489819,5721771,9608889,2331609,0,1676655,1504556,68225,2949803,229688,21621,50749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,2812233,0,294715,795225,2241673,0,0,1897544,1350777,4095755,2704410,2896522,1368642,478210,218821
20130715,110031347,0,0,0,0,0,0,0,0,0,832929,4571512,1135574,1575396,245001,2120040,7,0,4470715,12601042,4869985,3714635,14265087,3176055,3784115,0,1136662,1458385,1482561,252239,1590666,10607086,5123797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2943163,3704253,993483,233634,346927,2195865,1094292,0,4461756,5611924,1513463,1666601,3416110,1914213,711271,210903
20130716,154702618,0,0,0,0,0,0,0,0,0,903981,2380855,1774572,3451856,694631,5535451,790237,0,57002649,18442406,8853945,4526371,8043977,9371756,840651,0,3934793,1495318,50055,519560,205623,9977,267123,0,0,0,0,0,0,0,0,0,0,0,0,0,2012381,0,9913,0,0,2138486,0,199268,449891,0,196192,0,4297209,3185596,2398781,3951283,4169651,748594,1631567,218019
20130717,83789443,0,0,0,0,0,0,0,0,0,31303,2842366,1450660,965291,1756071,586771,331265,0,4810263,12559554,9779727,2972896,9787720,3307259,420344,0,216514,1572533,120261,112262,3161179,110740,327376,0,0,0,0,0,0,0,0,0,0,0,0,20182,2532553,0,0,0,196768,890922,0,225,493939,210104,0,0,2688265,4487340,2422946,7369053,2660982,976560,1387046,230203
20130718,136771910,0,0,0,0,0,0,0,0,0,264541,934213,1951502,190663,2809171,1206822,273161,0,14669154,14136618,2072141,6369223,4689132,2323742,11205093,0,646694,1478950,10960,374458,37937741,217862,151472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3653146,1313102,0,0,3348158,3215768,3608271,0,1669993,3785200,1856495,4090489,3062822,1362317,1647532,245304
20130719,85064492,0,0,0,0,0,0,0,0,0,181123,4434881,533566,976649,884019,806595,23762,0,1366742,5862507,13530870,8508985,2561354,1223782,5025327,0,571721,617174,0,6014271,3338381,701744,0,0,0,0,0,0,0,0,0,0,98558,0,0,0,2998398,0,0,0,1221807,3976671,102096,100936,300790,1074218,1091,0,1683438,2365178,1705972,5435459,5647168,404619,530870,253770
20130720,118646574,0,0,0,0,0,0,0,0,0,214701,137463,1619547,204816,5991172,306036,100578,0,2021097,12709467,21833139,20247838,23550504,1254441,3199988,0,16495,2576486,171848,332633,235653,60689,177093,0,0,0,0,0,0,0,0,0,0,0,0,0,1274941,0,0,0,2148081,1194798,2031302,0,693857,1252966,0,0,1428542,2531335,968369,2183946,1630971,1363936,2715881,265965
