report_date,total_redeem_amt,tftobal_amt,category1,category2,category3,category4,card0,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11
20130701,24767334,22254658,0,41960,0,2470716,0,0,0,0,0,0,0,0,0,0,0,0
20130702,8390811,6355534,0,28850,0,2006427,0,0,0,0,0,0,0,0,0,0,0,0
20130703,17245549,15985392,0,67918,0,1192239,0,0,0,0,0,0,0,0,0,0,0,0
20130704,16859653,13961714,460196,314701,0,2123042,0,0,0,0,0,0,0,0,0,0,0,0
20130705,11369171,9721614,2800,537800,0,1106957,0,0,0,0,0,0,0,0,0,0,0,0
20130706,14851205,12731069,203540,671658,0,1244938,0,0,0,0,0,0,0,0,0,0,0,0
20130707,8760751,6023698,911420,439004,0,1386629,0,0,0,0,0,0,0,0,0,0,0,0
20130708,12800183,10556948,361172,357301,0,1524762,0,0,0,0,0,0,0,0,0,0,0,0
20130709,37743853,33989427,403341,2036935,0,1314150,0,0,0,0,0,0,0,0,0,0,0,0
20130710,15388462,8194014,5520949,279600,0,1393899,0,0,0,0,0,0,0,0,0,0,0,0
20130711,19733522,16853561,1085590,289612,0,1504759,0,0,0,0,0,0,0,0,0,0,0,0
20130712,26665085,21925007,905530,1957929,0,1876619,0,0,0,0,0,0,0,0,0,0,0,0
20130713,84800004,82463357,246100,430500,0,1660047,0,0,0,0,0,0,0,0,0,0,0,0
20130714,20069420,17824148,557054,207100,0,1481118,0,0,0,0,0,0,0,0,0,0,0,0
20130715,25684639,22589786,1188070,412707,0,1494076,0,0,0,0,0,0,0,0,0,0,0,0
20130716,49928436,44741742,1169712,37165,0,3979817,0,0,0,0,0,0,0,0,0,0,0,0
20130717,73168887,69138518,1794095,198068,0,2038206,0,0,0,0,0,0,0,0,0,0,0,0
20130718,26261821,23214534,1113116,239528,0,1694643,0,0,0,0,0,0,0,0,0,0,0,0
20130719,29356947,26154702,964427,194760,0,2043058,0,0,0,0,0,0,0,0,0,0,0,0
20130720,23290369,21514427,294904,373450,0,1107588,0,0,0,0,0,0,0,0,0,0,0,0
20130721,33292242,30565974,140991,497991,0,2087286,0,0,0,0,0,0,0,0,0,0,0,0
20130722,35389055,30314372,1872040,790238,0,2412405,0,0,0,0,0,0,0,0,0,0,0,0
20130723,43940831,37072191,3729560,533683,0,2605397,0,0,0,0,0,0,0,0,0,0,0,0
20130724,61442476,47670517,8266400,2707208,0,2798351,0,0,0,0,0,0,0,0,0,0,0,0
