report_date, total_purchase_amt, zfb0, zfb1, zfb2, zfb3, zfb4 , zfb5 , zfb6 , zfb7 , zfb8 , zfb9 , zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb18, zfb19, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, zfb28, zfb29, zfb30, zfb31, bank0, bank1, bank2, bank3, bank4, bank5, bank6, bank7, bank8, bank9, bank10, bank11, bank12, bank13, bank14, bank15, bank16, bank17, bank18, bank19, bank20, bank21, bank22, bank23, bank24, bank25, bank26, bank27, bank28, bank29, bank30, bank31, bank32, bank33, bank34, bank35, bank36, bank37, bank38, bank39, bank40, bank41, share
20130701,89813113,0,2043603,0,0,201269,923781,0,0,0,5018073,0,0,20306,250588,912,200002,339249,641387,3345952,517336,562460,11123,8589147,1446673,2625664,12011981,3425559,213389,5169701,1692301,499664,329367,0,0,0,0,0,0,0,0,0,200952,0,0,0,2931522,0,0,0,0,0,0,9930,0,6036814,0,0,1832162,4814949,2944253,2219153,937979,2367406,647843,1077167,2394421,149194,757574,970826,3573554,2317167,1759217,1311692,407214,72637
20130702,120814358,0,1273544,60081,0,197057,40341,58554,2604245,0,0,0,0,3023079,36576,1052273,0,183262,9522511,417484,722788,1074046,1178559,11536917,3079332,4242216,10839713,19393083,13581552,287883,6201984,507981,365614,0,0,0,0,0,0,0,0,0,0,0,199784,0,0,992161,0,0,10235,5111128,0,0,0,2937974,0,0,0,798592,549531,907765,3319736,608567,756599,0,200718,807502,2592471,1423655,3363031,2690328,171503,1376068,439640,76695
20130703,99830106,0,1292519,169510,102144,0,40173,5926,1470042,0,0,0,0,994107,107402,6813,0,0,206131,706243,10245,113711,4228261,2746624,2143630,13803306,10436520,4915157,793084,18404685,7035619,1847488,1378350,0,50877,0,0,0,0,0,0,0,0,0,294702,0,3025237,0,201404,0,0,1007582,975219,0,2031049,2963200,3008186,0,0,109876,0,0,795493,0,1116390,2006806,1024753,505963,195111,1153829,1894720,1557049,1350012,991650,511903,101405
20130704,145901690,0,1634487,567830,0,98774,0,0,0,0,102157,2137989,29402,1953048,178983,16474,54223,0,1818660,3853821,70226,1761238,746065,6531394,7582155,33003670,10234329,14641464,17829955,884224,4123703,1291182,142368,0,0,0,0,0,0,0,4872951,0,0,0,0,0,2986528,0,203958,0,511551,0,2048715,813,0,4327163,0,10079,885,198780,462537,1020932,893948,422102,742465,1829798,1243596,801845,3904102,2132415,1214429,1340932,1526834,939552,864155,112804
20130705,84773760,0,2461024,205481,0,203639,1412821,13735,3518,0,0,20487,609300,0,11951,44195,0,0,335016,20137,10950,2440620,2237125,2941681,774715,3849348,11044019,11147707,12077438,2780044,3194887,62960,1531952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200096,0,0,3018277,0,0,1222831,0,0,10126,0,1530953,0,0,4044581,560053,3488748,1445603,1107928,259856,1041237,2755319,2520924,656059,911311,443263,121845
20130706,59506459,0,813351,5095,0,29266,0,21242,0,0,0,403114,0,102288,211653,0,0,390,87150,629019,91122,1246981,263332,1077160,615044,3214293,3807145,2210127,19996812,49172,5946178,8163047,1818835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12126,0,0,0,887103,34250,409217,0,300655,509624,506977,0,203637,402788,98314,145041,707389,1133377,2043280,683362,489547,137956
20130707,46789017,0,432049,153593,0,97855,1512425,0,197615,0,255847,0,138397,0,61143,0,105625,7398,133177,368582,613031,1610,869488,5192237,365429,1288537,15185522,4165114,362478,143461,1141864,286069,27131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10167,0,49326,299344,399535,10160,406738,0,1204603,1616770,0,3657348,901548,198818,199343,625077,1192028,327949,797018,1260595,390181,136792
20130708,127070930,0,1976386,148643,96300,99627,0,12299,316564,0,146898,0,0,0,31624,488600,1436927,307385,591913,5951537,1153148,4620178,7240266,10765509,1645066,5850898,4034030,1829674,1845706,351456,32534815,580893,5431923,0,0,0,0,0,0,0,0,0,0,1372279,0,0,3059295,0,0,0,0,4979904,0,0,0,3072331,101406,101611,408054,202149,3575861,0,1201834,450441,1004746,40881,2196915,4997055,1977065,497389,2754209,470518,1700840,2392815,894189,130878
20130709,127045030,0,1753965,160140,0,317352,1175434,0,435635,0,1122559,438520,0,0,0,9863,78761,313012,5094247,303179,666348,3657218,12849709,2186669,2731112,4776586,4128958,13289603,40907133,3483519,2629078,1041216,1227888,0,2465312,0,0,0,0,0,0,0,0,0,0,0,9343,0,0,0,0,0,0,0,0,0,2986361,0,0,1004688,1726641,0,198809,749931,921495,0,1729727,612297,3907666,200411,1586050,663620,1980324,1095261,289818,139572
20130710,94024796,0,2145432,22066,12156,230586,0,0,276443,0,136482,894894,0,3536,608866,587361,0,714629,73112,491489,1896993,383721,1112512,7362323,6999128,16324754,2102162,7704481,1200784,550733,3960103,2342149,5764722,0,2554295,0,0,0,0,0,0,0,0,0,0,0,2988109,0,0,0,2013339,0,0,0,0,702263,2007576,0,0,654635,0,488189,197291,2693659,1609499,403794,1170738,1649502,1734317,1184637,2630859,1324266,2133489,1503738,318612,160372
