report_date, total_purchase_amt, zfb00, zfb01, zfb02, zfb03, zfb04, zfb05, zfb06, zfb07, zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, zfb30, zfb31, zfb32, zfb33, zfb34, zfb35, zfb36, zfb37, bank00, bank01, bank02, bank03, bank04, bank05, bank06, bank07, bank10, bank11, bank12, bank13, bank14, bank15, bank16, bank17, bank20, bank21, bank22, bank23, bank24, bank25, bank26, bank27, bank30, bank31, bank32, bank33, bank34, bank35, bank36, bank37, share
20130701,89813113,0,0,0,0,0,0,0,0,0,1775480,4596434,1382915,179492,935038,0,128424,0,1894616,11915826,3945904,1657934,4803666,2841229,6331496,0,18292,6357712,667501,519646,9892,116165,1825,0,0,0,0,0,0,0,0,0,200952,2931522,0,0,0,0,0,0,1111142,7737516,7724942,2391700,912306,1932883,0,0,2821877,6225955,3125690,757274,341738,469171,976321,72637
20130702,120814358,0,0,0,0,0,0,0,0,0,2982850,4276452,0,875427,154601,36576,203106,0,3199821,29050949,17558944,7820543,11294877,4657324,2005743,0,475395,2549411,2110851,1059719,852549,298346,17191,0,0,0,0,0,0,0,0,0,0,0,992161,0,199784,0,0,0,208996,3877370,2227841,0,8238148,49735,398037,0,1675382,5306923,3166100,1265104,511078,724767,415562,76695
20130703,99830106,0,0,0,0,0,0,0,0,0,989243,2656313,125758,227432,189890,0,0,0,3046746,18397650,5237637,842183,1842289,2906607,7829800,0,1157598,5533242,16597059,3249156,766487,305255,1057345,0,0,0,0,0,0,0,0,0,50877,3025237,496106,0,0,0,0,0,204826,7205169,503719,0,4093281,0,0,0,1361308,2991910,4254857,564983,546247,1217027,255464,101405
20130704,145901690,0,0,0,0,0,0,0,0,0,102157,3115094,365254,2574258,611022,5582,0,0,1703245,16600208,33159440,7455381,8544824,30268003,341876,0,418501,521014,2328048,27261,2427854,423406,295393,0,0,0,0,0,0,0,0,0,0,7859479,203958,0,0,0,0,0,1372562,2943519,3555449,713999,2054441,0,0,0,1125878,5134511,5398240,170107,2148420,225814,1594688,112804
20130705,84773760,0,0,0,0,0,0,0,0,0,0,2046194,495258,961154,1483545,0,0,0,6764090,22010034,1299530,1465556,6328175,6967027,2044344,0,535612,148660,1679302,3570203,619164,1002,1015900,0,0,0,0,0,0,0,0,0,0,200096,0,0,0,0,0,0,0,5030429,4748550,0,0,0,607842,0,2124645,5287459,5293608,1006190,524070,261245,133031,121845
20130706,59506459,0,0,0,0,0,0,0,0,0,390,339398,0,1014568,119449,112594,0,0,418428,6199218,21704048,1354670,1241842,2168740,151239,0,11153168,3813868,246917,624772,116612,11786,10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409217,197529,1253184,0,0,800022,0,0,327102,2150969,1759626,207889,397729,553617,509803,137956
20130707,46789017,0,0,0,0,0,0,0,0,0,66802,2147453,0,69289,572778,0,105625,0,1095325,9175863,5165265,4550201,7736144,321543,500864,0,499139,177873,155296,199648,541891,24678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608103,701958,1071085,10160,1304975,300362,0,0,733489,4604750,2287723,611604,517799,401533,393007,136792
20130708,127070930,0,0,0,0,0,0,0,0,0,0,1833700,603704,742814,865391,31624,984020,0,12545238,18155317,6732516,2848046,2588810,2647172,10826,0,1105115,8080986,29526423,74154,112409,0,0,0,0,0,0,0,0,0,0,0,0,3059295,0,1372279,0,0,0,0,1400806,6847884,750626,711158,4979904,407959,0,0,1493834,2271558,9146484,2221881,1322186,251977,1213956,130878
20130709,127045030,0,0,0,0,0,0,0,0,0,27119,2486958,1342054,277821,1671289,0,0,0,16801789,9551827,52624985,7634511,3061368,875120,41162,0,106828,5559268,1781594,408343,291581,234087,0,0,0,0,0,0,0,0,0,0,0,2465312,0,0,9343,0,0,0,247960,247774,2402271,197386,3487846,1004688,0,0,1037471,3996663,1367912,863369,3491350,600149,708260,139572
20130710,94024796,0,0,0,0,0,0,0,0,0,392979,1612332,1764551,1168249,491488,182418,20434,0,4981135,23894574,2153145,10584560,3138194,702383,197468,0,580134,10085475,783757,55972,70395,45406,996568,0,0,0,0,0,0,0,0,0,0,5542338,0,0,66,0,0,0,702263,2408404,3163656,1572983,2519145,0,0,0,1450238,3132521,2849694,2732961,1527394,1840915,520229,160372
