report_date,total_purchase_amt,zfb0,zfb1,zfb2,zfb3,bank0,bank1,bank2,bank3,bank4,bank5,bank6,bank7,bank8,bank9,bank10,bank11,share,                                           w1,w2,w3,w4,w5,w6,mb1,mb2,mb3,mb4,mb5,ma1,ma2,ma3,ma4,ma5,fb1,fb2,fb3,fb4,fb5,fi1,fi2,fi3,fa1,fa2,fa3,fa4,fa5,sb1,sb2,sb3,sb4,sb5,si1,sa1,sa2,sa3,sa4,sa5,time
20140401,1396308944,0,157666564,147338678,211799601,0,117732638,45778544,67071759,113090985,170030258,231546536,37674192,32947567,24267307,19836546,10041743,9486026,         0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20140402,1206125271,0,144833716,131088528,119768860,0,101400106,36125357,51560755,133949596,160844789,194393181,39685123,32818628,21103539,20086561,8797843,9668689,          0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20140403,1130903651,0,214682973,84426193,102422245,0,63932905,42104594,63695082,136147373,133118106,159506262,29799952,34087031,30481764,16741786,10039300,9718085,           0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20140404,841596773,0,160191950,85537788,42654207,0,36770017,36427209,37419553,74532952,79059701,144080199,42112950,32479422,31836545,20282974,8468293,9743013,                0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20140405,573927733,0,116893786,24665596,43397225,0,22309117,23220152,43298495,38896356,61505841,112463850,19656020,19077222,19549162,11965154,7240794,9788963,                0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20140406,574439580,0,109528724,62353786,60787441,0,10306806,16872663,26869028,46880855,85960577,82201768,19452276,14638625,13361090,8910377,6574338,9741226,                  0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
20140407,744447037,0,152213869,39643436,82743554,0,31199515,36708646,33314176,65269668,76242259,117719306,34492020,18075497,24367176,11418544,11336423,9702948,               1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
20140408,1079607187,0,145411128,88576590,139480423,0,69248883,47436385,39425563,91634129,105578921,189218122,48570065,38040741,30968753,23190984,13145495,9681005,            0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
20140409,1092839274,0,232813709,52913840,83573752,0,79795757,49236091,50617915,82347463,133612434,188572240,28384992,32794962,31578939,24908370,11940276,9748534,             0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
20140410,1209050516,0,182864752,85820402,169124572,0,63306142,60801091,45109651,85589967,117860333,214780767,52280212,48077672,34899102,25490034,13313942,9731877,            0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
