report_date,total_redeem_amt,tftobal_amt,category1,category2,category3,category4,card0,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,
20130701,21851573,18601559,0,2390229,0,859785,0,0,0,0,0,0,0,0,0,0,0,0,
20130702,19010502,17509366,0,295980,0,1205156,0,0,0,0,0,0,0,0,0,0,0,0,
20130703,17428422,14998495,200000,467904,0,1762023,0,0,0,0,0,0,0,0,0,0,0,0,
20130704,14703974,12486772,603630,534231,0,1079341,0,0,0,0,0,0,0,0,0,0,0,0,
20130705,31713671,29500289,301000,237058,0,1675324,0,0,0,0,0,0,0,0,0,0,0,0,
20130706,74699259,73459180,100000,28510,0,1111569,0,0,0,0,0,0,0,0,0,0,0,0,
20130707,9602385,6918062,462445,78970,0,2142908,0,0,0,0,0,0,0,0,0,0,0,0,
20130708,41452867,39158220,453736,601356,0,1239555,0,0,0,0,0,0,0,0,0,0,0,0,
20130709,41372614,38342196,550412,358449,0,2121557,0,0,0,0,0,0,0,0,0,0,0,0,
20130710,31634221,25367357,2870439,152007,0,3244418,0,0,0,0,0,0,0,0,0,0,0,0,
20130711,22046059,18078117,687773,449400,0,2830769,0,0,0,0,0,0,0,0,0,0,0,0,
20130712,18300289,15925259,624470,123708,0,1626852,0,0,0,0,0,0,0,0,0,0,0,0,
20130713,16731966,14618120,745215,301111,0,1067520,0,0,0,0,0,0,0,0,0,0,0,0,
20130714,27812261,25121349,692789,297773,0,1700350,0,0,0,0,0,0,0,0,0,0,0,0,
20130715,55116249,50222884,2125226,529095,0,2239044,0,0,0,0,0,0,0,0,0,0,0,0,
20130716,54367170,50434247,1853628,707920,0,1371375,0,0,0,0,0,0,0,0,0,0,0,0,
20130717,45060341,37969344,3029198,1586852,0,2474947,0,0,0,0,0,0,0,0,0,0,0,0,
20130718,25731560,20834048,896200,257743,0,3743569,0,0,0,0,0,0,0,0,0,0,0,0,
20130719,31941311,27468474,617921,2307660,0,1547256,0,0,0,0,0,0,0,0,0,0,0,0,
20130720,82545582,80028417,838552,304599,0,1374014,0,0,0,0,0,0,0,0,0,0,0,0,
20130721,30565706,25269463,2335727,473474,0,2487042,0,0,0,0,0,0,0,0,0,0,0,0,
20130722,67759707,58062640,4159623,2025186,0,3512258,0,0,0,0,0,0,0,0,0,0,0,0,
20130723,59762619,53425907,2729007,263348,0,3344357,0,0,0,0,0,0,0,0,0,0,0,0,
20130724,39424121,33695798,2770185,235415,0,2722723,0,0,0,0,0,0,0,0,0,0,0,0,
20130725,51764200,41494420,5754400,297936,0,4217444,0,0,0,0,0,0,0,0,0,0,0,0,
20130726,41900767,36562770,1601308,471730,0,3264959,0,0,0,0,0,0,0,0,0,0,0,0,
20130727,40057095,36202503,1265025,743041,0,1846526,0,0,0,0,0,0,0,0,0,0,0,0,
20130728,22044292,17513271,1570222,334343,0,2626456,0,0,0,0,0,0,0,0,0,0,0,0,
20130729,64669683,60694377,966996,420373,0,2587937,0,0,0,0,0,0,0,0,0,0,0,0,
20130730,74137709,64654788,5294726,982595,0,3205600,0,0,0,0,0,0,0,0,0,0,0,0,
20130731,59459072,53531389,3099213,197158,0,2631312,0,0,0,0,0,0,0,0,0,0,0,0,
20130801,41559970,35063209,1882775,1303357,0,3310629,0,0,0,0,0,0,0,0,0,0,0,0,
20130802,37600789,29917985,3683931,438181,0,3560692,0,0,0,0,0,0,0,0,0,0,0,0,
20130803,26542205,20667148,2732864,520190,0,2622003,0,0,0,0,0,0,0,0,0,0,0,0,
20130804,44363222,39877082,1646775,329888,0,2509477,0,0,0,0,0,0,0,0,0,0,0,0,
20130805,65338007,55610562,4477274,999932,0,4250239,0,0,0,0,0,0,0,0,0,0,0,0,
20130806,70121588,62158620,2376323,782008,0,4804637,0,0,0,0,0,0,0,0,0,0,0,0,
20130807,69020943,62057392,3113636,577174,0,3272741,0,0,0,0,0,0,0,0,0,0,0,0,
