report_date,total_redeem_amt,tftobal_amt, zfb0, zfb1, zfb2, zfb3, zfb4 , zfb5 , zfb6 , zfb7 , zfb8 , zfb9 , zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb18, zfb19, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, zfb28, zfb29, zfb30, zfb31,category1,category2,category3,category4,card0,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11, card12, card13, card14, card15, card16, card17, card18, card19, card20, card21, card22, card23, card24, card25, card26, card27, card28, card29, card30, card31, card32, card33, card34, card35, card36, card37, card38, card39, card40, card41
20130701,21851573,18601559,0,2887239,25161,0,0,0,0,9,0,0,0,0,0,39515,182555,622279,197526,4938,0,393148,0,310141,38766,79775,57461,14095,4928368,607028,3963285,4115951,55869,78450,0,2390229,0,859785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130702,19010502,17509366,0,189281,0,0,0,0,0,983,0,2686,0,222791,0,1078400,403440,0,18,59144,0,3915659,1507706,3064,79124,97,828682,312729,5023864,0,793760,277739,311621,2498578,0,295980,0,1205156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130703,17428422,14998495,0,3935641,0,0,0,0,0,687385,0,262979,152058,1636955,0,0,0,0,855746,0,0,90195,295444,1131409,187197,91325,1149690,891442,0,715157,796,1627455,190933,1096688,200000,467904,0,1762023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130704,14703974,12486772,0,1662149,101970,0,61785,0,0,117587,0,100,781404,54612,49271,0,11,320608,148,26239,0,46,0,306635,383641,0,1749549,44927,3711,1553204,1484374,309340,41894,3433567,603630,534231,0,1079341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130705,31713671,29500289,0,6232769,0,0,0,0,0,0,0,0,316681,0,0,0,0,507307,98206,387816,99258,7959837,0,7118452,1673135,2093303,372865,274915,99827,1244166,0,84708,383585,553459,301000,237058,0,1675324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130706,74699259,73459180,0,7654407,0,0,0,0,0,20200,0,0,0,0,1974661,0,102546,391291,50422,0,0,49003763,543511,474279,403849,0,294920,105103,15059,752009,429960,3449829,7772811,20560,100000,28510,0,1111569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130707,9602385,6918062,0,355651,49336,0,0,0,0,0,0,0,0,0,200692,32,0,0,247286,101769,0,0,152382,2301796,98829,99497,98676,565172,611154,29430,805242,86168,98564,1016386,462445,78970,0,2142908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130708,41452867,39158220,0,3135573,443580,4928,406357,0,0,31478,0,5079645,78004,0,340718,0,495766,516508,203403,319297,14940,5403784,54626,6252282,709501,0,20171,3048,2898814,1173208,1001258,440334,272428,9858569,453736,601356,0,1239555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130709,41372614,38342196,0,4105932,0,0,0,6828,0,5077,16632,3055387,5078,0,111209,34,772758,240839,1014935,20475,5511000,5235145,0,1513332,1051074,0,378185,0,2715273,212123,1481,976175,2240161,9153063,550412,358449,0,2121557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130710,31634221,25367357,0,13193846,307326,0,130333,9787,0,34156,0,0,0,0,143093,71,201742,70653,0,10236,605257,2842215,355964,31,91616,945355,1952411,20376,573887,1529870,4921,1456559,604567,283085,2870439,152007,0,3244418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
