report_date,total_redeem_amt,tftobal_amt, zfb00, zfb01, zfb02, zfb03, zfb04, zfb05, zfb06, zfb07, zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, category1, category2, category3, category4, card00, card01, card02, card03, card04, card05, card06, card07, card10, card11, card12, card13, card14, card15, card16, card17, card20, card21, card22, card23, card24, card25, card26, card27, card30, card31, card32, card33, card34, card35, card36, card37
20130701,21851573,18601559,0,0,0,0,0,0,0,0,0,0,1655323,2706451,278016,46633,14845,9,0,150454,141263,240565,8784239,515165,4068202,394,0,2390229,0,859785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130702,19000582,17509366,0,0,0,0,0,0,0,0,0,262735,1093642,726026,420444,3972315,967076,20058,0,149623,3239370,10457,6089298,357432,22,200868,0,295980,0,1195236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130703,17423551,14998489,0,0,0,0,0,0,0,0,0,1932399,1961977,1773678,1063049,169105,1439206,895589,0,1361679,1139643,29374,127149,1284605,1291454,529582,200000,467904,0,1757158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130704,14703974,12486772,0,0,0,0,0,0,0,0,0,265667,233110,41285,965150,41112,808407,1511475,0,336874,1272133,79406,375160,961629,2786859,2808505,603630,534231,0,1079341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130705,31713671,29500289,0,0,0,0,0,0,0,0,0,2786855,6006369,8548831,843698,18956,6188629,123,0,210000,287814,413155,2079761,1148102,889464,78532,301000,237058,0,1675324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130706,74699259,73459180,0,0,0,0,0,0,0,0,0,1661345,561823,469519,50262386,6328182,153199,1182475,0,131861,472197,196364,3305617,7350011,692796,691405,100000,28510,0,1111569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130707,9602385,6918062,0,0,0,0,0,0,0,0,0,558448,247318,0,356341,1972581,352938,20147,0,599313,1391533,118638,2013,149752,74458,1074582,462445,78970,0,2142908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130708,41140843,38846196,0,0,0,0,0,0,0,0,0,14843,2858097,4798687,1497867,5600152,7119940,1288780,0,816441,9917933,134069,4119854,369945,218727,90861,453736,601356,0,1239555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130709,41372614,38342196,0,0,0,0,0,0,0,0,0,35560,818640,37049,8923665,4541151,7040134,1269536,0,338422,3231495,287240,3319279,7622310,33802,843913,550412,358449,0,2121557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130710,31627821,25367357,0,0,0,0,0,0,0,0,0,192684,1124488,11422261,2806358,349429,664079,1437027,0,1012836,766869,837403,1552764,1553337,150874,1496948,2870439,152007,0,3238018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
