report_date,total_redeem_amt,tftobal_amt,category1,category2,category3,category4,card0,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,                   w1,w2,w3,w4,w5,w6,mb1,mb2,mb3,mb4,mb5,ma1,ma2,ma3,ma4,ma5,fb1,fb2,fb3,fb4,fb5,fi1,fi2,fi3,fa1,fa2,fa3,fa4,fa5,sb1,sb2,sb3,sb4,sb5,si1,sa1,sa2,sa3,sa4,sa5,time
20140401,927709382,154827470,65479336,44512487,615000,51651948,0,230702620,30505809,85116944,63885253,56104832,61999929,21290666,27930224,13338695,11786467,7961702,          0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20140402,1030859323,107662869,76003954,49589359,465000,49374173,0,399427271,23907595,74243854,66013623,61486717,60990874,18247713,10062019,13424978,12113306,7846018,         0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20140403,877906098,119917225,69464815,33690688,20000,39785473,0,279457760,46714864,45862698,49607550,52358104,83675325,8565813,12415467,10933173,15555375,9881768,            0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20140404,721278949,109692066,61752185,42380002,0,42155125,0,202428252,19731604,38408970,40239204,47052686,55873466,11242575,10589580,10376891,18676433,10679910,              0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20140405,461281693,69650084,55999974,36687032,0,29039014,0,80438670,39294439,19960089,21394221,30568847,39553414,7836662,5500732,7737347,9127438,8493730,                     0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20140406,448814332,62505835,52904964,15891691,4000000,36546618,0,105507546,18583525,19391312,19371333,34299481,44786255,3223626,6947583,7035557,10275956,7543050,             0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
20140407,695830740,110468422,62996099,29904722,0,36569397,0,235720388,43848415,20756851,16355195,43917460,45296289,5926457,6618161,16553297,11220628,9678959,                 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
20140408,1051197674,150573637,72995147,53099126,600000,50645082,0,383167555,33685240,64763090,64588179,68829985,52233117,12621905,10093886,9977966,15260036,8063723,          0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
20140409,1008092940,96242128,47185480,46190222,20000,48411512,0,394116403,61757838,34001956,71953455,82841966,69811526,14939797,11251909,13531932,9432256,6404560,            0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
20140410,860452589,156723386,64096953,41102676,900000,36522832,0,289680427,54702285,36963031,29160343,36478490,61998697,10439017,11899068,14364901,10121386,5299097,          0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
20140411,787880785,122862529,63542072,46799160,2273642,44677246,0,248499404,21273183,37373426,25724220,45725726,65572149,9294643,14118626,18583060,13365646,8196053,          0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
20140412,523781135,63261947,59698364,39555640,8600000,34993631,0,113377115,5455627,25269854,30306185,42116635,53667445,10450227,10212455,7266767,10094954,9454289,            0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
20140413,801915014,84903505,41565689,38641098,1600000,38994659,0,354433435,40918370,9091869,34267299,48198936,53197270,15665865,9156390,11522160,10231033,9527436,            0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
20140414,1023236298,120510031,54618061,40208563,3230026,42350445,0,401947375,24020830,45589948,55691128,106270585,74352974,17137954,10078161,8607728,11945254,6677235,        1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
20140415,855893819,122295288,44890454,56369425,30700000,53224892,0,267898868,35326705,39781002,35790159,56661648,54051672,20125506,8511672,8816173,11119174,10331181,         0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
20140416,855430043,109090038,43417533,48683776,3700000,51622068,0,324797964,25517938,32389871,21721674,61399944,81082897,14299255,12324759,6645798,12523514,6213014,          0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
20140417,860496066,138218838,45744461,51177437,7950000,56953355,0,301044511,39373484,44274352,26057856,39707819,53840410,15193992,16774952,7104281,10194595,6885723,          0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
20140418,684824059,116324529,45372757,53305860,500000,52726229,0,133753477,17904314,39710423,28269882,60808764,77138137,11841358,14131848,12404463,11666111,8965907,          0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
20140419,576825387,105561226,42877638,21928682,800000,41776680,0,145496092,17466600,21764229,28896977,38135917,56785221,19258016,11102550,10252103,7029113,7694343,           0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
20140420,674905035,110069908,64767177,28965595,300100,36427221,0,191747169,42080537,27144839,28205689,35531786,56299913,11019340,12701063,9070455,11640676,8933567,           0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
20140421,1024359309,169378193,119949855,34370091,3600100,46292911,0,258158369,53593680,60843055,71335257,65848227,84297460,13432015,11856722,12000266,10812181,8590927,       1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
20140422,990570252,130439804,78347918,50900038,2445000,45535666,0,334135333,54765461,44686472,59183040,65876085,64044808,12091082,17367743,13852379,10515075,6384348,         0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
20140423,1047184824,107270729,78468027,58136504,0,58922400,0,423643427,29162264,46638688,43652172,62964952,79831190,11605506,8552995,16235601,13747035,8353334,               0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
20140424,836596614,114339108,71437235,49687682,500000,41409060,0,240974328,50785264,31374860,47605282,63984538,58539298,14417231,18148939,11984918,14101444,7307427,          0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
20140425,1067280324,132846420,105832494,62022362,5000000,48871647,0,392805718,36290816,37380899,57946506,45096445,81480766,8992631,16618526,15462357,10820884,9811853,        0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
20140426,573608515,93111094,71776108,43128335,5100000,40231116,0,81012843,10971183,49557110,32019637,44419901,46179725,13998148,9695990,11480701,11520049,9406575,            0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
20140427,672562995,101596042,78960894,43730390,5300000,38354757,0,162463863,27972065,32533591,19007930,59478747,62663266,5083159,5162340,10862133,9460439,9933379,            0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
20140428,1515848803,158080639,97811528,42573091,4100000,47886191,0,691352372,33262368,85409542,56512024,112314386,101912248,15034077,23447275,20527042,16363741,9262279,      1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
